0.000,production,observeCart
0.050,production,None
0.050,motor,Pressing
0.050,production,observeCart
0.100,production,None
0.100,production,observeCart
0.150,production,None
0.150,production,observeCart
0.200,production,None
0.200,production,observeCart
0.250,production,None
0.250,production,observeCart
0.300,motor,Pressing
0.300,production,None
0.300,production,observeCart
0.350,motor,Pressing
0.350,production,None
0.350,production,observeCart
0.400,production,None
0.400,production,observeCart
0.450,motor,Actually
0.450,motor,Finishing
0.450,production,None
0.450,production,observeCart
0.500,production,None
0.500,production,observeCart
0.550,production,None
0.550,production,observeCart
0.600,motor,Finished
0.600,production,None
0.600,motor,Pressing
0.600,production,observeCart
0.650,production,None
0.650,production,observeCart
0.700,production,None
0.700,production,observeCart
0.750,production,None
0.750,production,observeCart
0.800,production,None
0.800,production,observeCart
0.850,motor,Pressing
0.850,production,None
0.850,production,observeCart
0.850,perception.chunk,0.007489300202352313
0.900,motor,Pressing
0.900,production,None
0.900,production,observeCart
0.900,perception.chunk,0.03057452671745066
0.950,production,None
0.950,production,observeCart
0.950,perception.chunk,0.05757756532414239
1.000,motor,Actually
1.000,motor,Finishing
1.000,production,None
1.000,production,observeCart
1.000,perception.chunk,0.08850166669370808
1.050,production,None
1.050,production,observeCart
1.050,perception.chunk,0.11555584245147914
1.100,production,None
1.100,production,observeCart
1.150,motor,Finished
1.150,production,None
1.150,motor,Pressing
1.150,production,observeCart
